Tag,1854.12.24,1855.6.28,1856.3.19,
BRZ,2241766,2256353,2278825,
CHI,29391787,29504302,29661487,
ENG,7511995,7549553,7597201,
FRA,10340282,10386344,10451065,
IBR,6046765,6070278,6097239,
INC,4380674,4396584,4423996,
JAP,12817381,12833075,12870306,
KUK,11583359,11636660,11719393,
LPL,1873493,1897696,1932196,
MEX,3739724,3767888,3789455,
NET,7378609,7415456,7466257,
NGF,7866996,7950708,8692924,
PER,4290760,4301780,4317541,
RUS,18379205,18466530,18592894,
SCA,4937249,4976456,5019655,
SIC,3316437,3331209,3323457,
TUR,10496312,10551055,10629101,
USA,7498508,7541689,7908667,
